analyst,n_observations,n_firms_covered,firms_covered,avg_abs_fe,n_times_smart_weighted,avg_weight_when_smart_weighted
Purdy Ho,12,3,"AMD-US, MU-US, NVDA-US",0.03820431243734439,0,
Sherman Shang,6,1,TSM-US,0.03826757193418582,0,
Rick Hsu,8,1,TSM-US,0.038365792925733076,0,
Evan David Seigerman,22,2,"LLY-US, VRTX-US",0.03861163472875204,0,
Felix Pan,6,1,TSM-US,0.038653291508433316,0,
Moshe Orenbuch,1,1,V-US,0.0386588306208559,0,
Robert Sanders,8,1,TSM-US,0.03865955662518651,0,
Ken Gawrelski,24,2,"AMZN-US, META-US",0.0387795212497463,0,
Karen Short,2,1,BJ-US,0.03894913949707965,0,
Rick Schafer,29,4,"AMD-US, NVDA-US, QCOM-US, TXN-US",0.039076142547219306,0,
Sun-Woo Kim,4,4,"AMD-US, NVDA-US, QCOM-US, TXN-US",0.03915667298177067,0,
Naz Rahman,11,1,VRTX-US,0.03925698147067141,0,
Sangita Jain,14,2,"EME-US, MTZ-US",0.03926231327453902,0,
James Kelleher,55,11,"AAPL-US, AMAT-US, AMD-US, AMZN-US, GFS-US, KLAC-US, MU-US, NVDA-US, QCOM-US, TSM-US, TXN-US",0.03929337692181312,0,
James Carreker,18,2,"LNG-US, WMB-US",0.03933775652556321,0,
Scott Mushkin,5,1,BJ-US,0.03943340012649306,0,
David Togut,2,1,V-US,0.03943536892646325,0,
Ross Seymore,40,5,"AMD-US, GFS-US, NVDA-US, QCOM-US, TXN-US",0.03954002205594372,0,
Joshua Buchalter,27,4,"AMD-US, NVDA-US, QCOM-US, TXN-US",0.039560107277251316,0,
Ling Ji Cao,19,4,"AMD-US, META-US, QCOM-US, TSM-US",0.03965941758596229,0,
Chaim Siegel,4,3,"MU-US, NVDA-US, TSLA-US",0.03972135769612392,0,
Szeho Ng,1,1,TSM-US,0.0397617787276015,0,
Gus Richard,6,1,AMD-US,0.03982256953138435,0,
Sam Crittenden,9,1,FCX-US,0.03987788406005413,0,
Thiago Alves Kapulskis,24,5,"AAPL-US, AMZN-US, META-US, MSFT-US, NVDA-US",0.039898475722961575,0,
Orest Wowkodaw,12,1,FCX-US,0.04006226572411522,0,
Roald Ross,4,1,FCX-US,0.04010520698664298,0,
Jason Gabelman,12,2,"LNG-US, WMB-US",0.04070161658369768,0,
Melissa Weathers,18,3,"AMAT-US, KLAC-US, MU-US",0.04071781653460255,0,
Kevin Wang,8,1,TSM-US,0.040784784315067484,0,
Ameet Thakkar,6,2,"LNG-US, WMB-US",0.040935440583747616,0,
Melissa Fairbanks,19,6,"AAPL-US, GFS-US, MU-US, QCOM-US, SNDK-US, TXN-US",0.041156583421292914,0,
Christopher Raymond,10,1,VRTX-US,0.041361891328192846,0,
Heping Qin,35,10,"AAPL-US, AMAT-US, AMD-US, AMZN-US, META-US, MU-US, NVDA-US, QCOM-US, TSLA-US, TSM-US",0.041472831603141795,0,
Michael Nathanson,12,1,META-US,0.04149537331308642,0,
Phil Nadeau,12,1,VRTX-US,0.04164834328076911,0,
Kevin Garrigan,18,4,"GFS-US, NVDA-US, QCOM-US, TXN-US",0.041684814550434206,0,
Pierre Ferragu,64,9,"AAPL-US, AMAT-US, AMD-US, KLAC-US, MSFT-US, MU-US, NVDA-US, TSLA-US, TSM-US",0.041738946846564456,0,
